date,EE_RSTAK_NAM,EE_RSTAL_NAM,EE_RSTAR_NAM,EE_RSTAZ_NAM,EE_RSTCA_NAM,EE_RSTCO_NAM,EE_RSTCT_NAM,EE_RSTDC_NAM,EE_RSTDE_NAM,EE_RSTFL_NAM,EE_RSTGA_NAM,EE_RSTHI_NAM,EE_RSTIA_NAM,EE_RSTID_NAM,EE_RSTIL_NAM,EE_RSTIN_NAM,EE_RSTKS_NAM,EE_RSTKY_NAM,EE_RSTLA_NAM,EE_RSTMA_NAM,EE_RSTMD_NAM,EE_RSTME_NAM,EE_RSTMI_NAM,EE_RSTMN_NAM,EE_RSTMO_NAM,EE_RSTMS_NAM,EE_RSTMT_NAM,EE_RSTNC_NAM,EE_RSTND_NAM,EE_RSTNE_NAM,EE_RSTNH_NAM,EE_RSTNJ_NAM,EE_RSTNM_NAM,EE_RSTNV_NAM,EE_RSTNY_NAM,EE_RSTOH_NAM,EE_RSTOK_NAM,EE_RSTOR_NAM,EE_RSTPA_NAM,EE_RSTRI_NAM,EE_RSTSC_NAM,EE_RSTSD_NAM,EE_RSTTN_NAM,EE_RSTTX_NAM,EE_RSTUT_NAM,EE_RSTVA_NAM,EE_RSTVT_NAM,EE_RSTWA_NAM,EE_RSTWI_NAM,EE_RSTWV_NAM,EE_RSTWY_NAM
1939,-19.64352901,444.7146662,204.9763483,98.9083691,1894.610383,223.3323551,608.0065121,374.8868284,76.75276823,419.10061,556.6767789,-2.081634398,417.937765,76.93592286,2899.186338,858.9358523,307.7806484,386.1719942,421.1096456,1429.873668,534.657226,223.1367874,2243.040731,629.2041427,862.1660518,209.6573318,101.9811672,639.9430109,66.95323298,215.9347172,144.4302458,1326.89117,72.55321385,36.67462552,4235.19034,1870.374548,328.4961778,266.1018645,2850.690285,261.3841991,330.5862849,81.50083926,492.7429621,1095.323301,110.3039569,582.8215038,75.11262237,465.9937829,668.8690538,391.7113025,49.67466422
1940,-16.57503643,472.043238,216.680674,105.587835,2068.2022,236.0677657,633.8021576,397.5123198,81.27250196,449.0104686,587.5663313,6.331195493,435.8327577,81.53561845,2927.625558,909.0858211,328.5658209,403.4313803,445.0253377,1477.198844,561.7526941,231.2492991,2246.199127,642.3404803,900.2489273,221.3471383,105.1081479,669.6390926,69.68207463,227.1264135,146.4071477,1380.115724,77.97998271,38.91637192,4404.99479,1986.567513,345.2163258,287.183852,2964.12027,268.9318661,346.4419435,84.26535206,525.2476301,1184.165575,119.8999901,613.9976351,78.0450869,502.9938975,709.2307971,408.0312966,52.10106594
1941,-13.50654385,498.9666631,228.2622363,112.2182172,2240.159913,248.7708527,658.915738,419.6299428,85.744708,478.8603211,618.1071159,14.74402538,453.6703728,86.0999548,2956.064778,958.4884315,349.125187,420.5730464,468.6699334,1523.650284,588.2045899,239.108443,2249.357522,655.4768179,937.9221423,232.9073716,108.214317,698.9567442,72.42938396,238.3097626,148.3677472,1432.149366,83.44221942,41.11437208,4572.575337,2101.263732,361.8615119,308.0068208,3075.481352,276.2356911,362.0617392,87.02685646,557.4858684,1272.640616,129.4019838,644.5945514,80.92742521,539.3320743,749.3228499,424.1491778,54.51472103
1942,-10.43805127,524.5223625,239.3964648,118.7055536,2406.525396,261.3376149,682.1141666,440.2007061,90.08813366,508.4700568,647.5367017,23.15685527,471.276905,90.58321652,2984.503998,1005.689467,368.9112819,437.3549588,491.5490827,1567.340262,612.7668143,246.1893581,2252.515918,668.6131555,974.341547,244.0519868,111.2827812,727.1231446,75.22080789,249.3581533,150.2526703,1480.737028,89.00659203,43.183716,4733.818129,2211.503785,378.1676112,328.0079138,3181.091425,282.7625135,376.9643898,89.78069056,588.7987712,1359.662536,138.5888984,673.4090613,83.6610602,573.6624365,788.4842137,439.6915199,56.88187217
1943,-7.369558696,547.3980905,249.5951671,124.9157001,2561.711924,273.5483427,702.2621993,457.9643187,94.22207915,537.7429615,675.0045863,31.56968517,488.3929454,94.95468863,3012.943218,1049.179825,387.122389,453.5783534,513.2357366,1606.37755,634.2142221,251.8960992,2255.674313,681.7494931,1008.56577,254.4548656,114.3275043,753.8349055,78.08469949,259.9998765,152.0678655,1523.369147,94.74634638,45.00435,4884.193562,2314.107614,393.6578836,346.3892056,3277.174572,288.0598157,390.8299957,92.52292387,618.3665739,1443.502039,147.1216747,699.1800278,86.14614053,604.2457865,825.8106614,454.2664053,59.18161485
1944,-4.301066119,566.9103778,258.6141858,130.8004569,2700.766519,285.3269501,718.9524504,472.2484826,98.10196336,566.5536209,699.8649004,39.98251506,504.8073159,99.18982402,3041.382438,1087.895512,403.005679,469.1679162,533.3193551,1639.566518,651.8010001,255.8678274,2258.832709,694.8858307,1040.091025,263.8773696,117.3986221,779.0184068,81.05820377,269.8916419,153.9177549,1558.59779,100.7376624,46.54938322,5020.722849,2406.816123,407.8939128,362.4266917,3361.929957,291.9444549,403.5700131,95.28681902,645.4115241,1522.520205,154.6763643,721.3602235,88.33720426,629.5113024,860.5041239,467.7230008,61.39122585
1945,-1.232573541,583.2657743,266.5164121,136.5074673,2823.044082,296.8638678,732.8059121,483.1662567,101.7859844,595.2321905,722.293729,48.39534495,520.4739092,103.2735287,3069.821658,1122.142733,416.7210986,484.27655,551.9340407,1667.10276,666.0921928,258.1877428,2261.991104,708.0221684,1069.173867,272.433312,120.5509954,803.2046795,84.14161875,278.9811601,155.8830816,1586.951332,107.0792565,47.9138813,5143.113269,2489.950141,420.9317036,376.0104756,3435.971002,294.5656904,415.5265986,98.10540937,669.6632038,1596.974093,161.3138023,740.4766205,90.22732802,648.9307044,892.2764254,480.0628097,63.51516577
1946,1.835919036,597.187726,273.4245953,142.2983699,2931.94785,308.367257,745.0030522,491.1672151,105.3753207,624.4992902,742.9995079,56.80817484,535.3875445,107.1898103,3098.260878,1153.057738,428.9275378,499.1134783,569.5637026,1689.950204,678.3088347,259.2243673,2265.1495,721.158506,1096.217943,280.3657321,123.822499,826.9665707,87.3056604,287.3512256,157.9714113,1610.524171,113.8434686,49.22841606,5252.830873,2565.425334,433.1173218,387.4923937,3500.879829,296.2123368,427.1322085,100.9698601,691.4750796,1668.342561,167.2540599,757.3615889,91.82821643,663.2375997,921.093349,491.1501047,65.58098298
1947,4.904411614,609.623021,279.6383203,148.5027288,3033.144619,319.9906402,756.6792793,496.8012691,108.9642908,655.0232176,762.8967356,65.22100473,549.4503022,110.8949414,3126.700099,1182.042353,440.5696755,513.7541591,586.7539095,1709.183751,689.8520386,259.4133453,2268.307896,734.2948436,1121.791157,287.8873362,127.1674973,850.4618805,90.4716285,295.2068211,160.0974788,1631.938192,121.0558458,50.6014205,5351.410576,2635.200867,445.0055162,397.3751778,3558.22985,297.1605516,438.6910333,103.8342824,711.5639863,1738.152725,172.7830705,772.8917324,93.15030081,674.0332885,947.1799134,500.6635308,67.59907418
1948,7.972904191,621.0575705,285.3209265,155.3541242,3131.522707,331.7688674,768.0989716,500.6756581,112.5814602,687.2342774,782.5469156,73.63383462,562.3983871,114.3352964,3155.139319,1209.327822,452.1899152,527.9749156,603.6235929,1725.301801,701.5368286,259.1050775,2271.466291,747.4311812,1145.979238,295.1271731,130.47913,873.5577433,93.54176623,302.6144171,162.1623051,1652.610038,128.6525009,52.13304346,5439.150989,2699.597652,456.8148622,405.9106358,3607.234676,297.5143694,450.273941,106.6200886,730.2230077,1806.892276,178.0772266,787.7150389,94.21373032,682.584695,970.4972039,508.0392318,69.55702625
1949,11.04139677,631.9350552,290.6313697,163.0451092,3231.827983,343.7898821,779.6757143,503.2826086,116.2377514,721.7415424,802.4275842,82.04666451,574.0475011,117.5063001,3183.886538,1235.050968,464.0689639,541.6145294,620.2501456,1738.940915,713.9477085,258.6078313,2274.624687,760.5675188,1168.858002,302.2364185,133.6658619,896.3696748,96.4476005,309.6074158,164.1259359,1673.834969,136.5439879,53.94441956,5517.486612,2759.222594,468.5898803,413.3938237,3647.616622,297.3972187,461.8928898,109.2793485,747.7185879,1874.712377,183.2930904,802.4175789,95.07715111,689.9394104,991.2305065,512.7957162,71.4194353
1950,14.10988935,642.7735803,295.7183966,171.7566955,3338.474093,356.1839391,791.9091031,504.8565907,119.9462723,759.2117423,822.9148081,90.4594944,584.394362,120.4180245,3213.795362,1259.367336,476.2046291,554.6580331,636.694724,1750.927636,727.4348141,258.1998232,2277.783082,773.7038564,1190.551472,309.3769761,136.6683664,919.2186132,99.15324052,316.2570754,166.0397942,1696.731145,144.6373359,56.14835302,5588.781441,2815.131619,480.2249422,420.1836912,3679.999657,296.9803849,473.567098,111.8059308,764.5269406,1941.786268,188.5584516,817.4802726,95.81707204,696.977179,1009.865135,514.8061003,73.15632722
1951,17.17838192,653.8879003,300.6694403,181.6094439,3453.8014,368.9183945,804.8519764,505.4532484,123.6787533,800.1011917,844.0033786,98.87232429,593.4642129,123.0854787,3244.865531,1281.954961,488.3410289,566.9393137,653.0139834,1761.7241,741.9938037,258.0261914,2280.941478,786.8401941,1210.84809,316.6243856,139.4676581,942.0328,101.6463195,322.5905799,167.9220436,1721.620378,152.8311342,58.81520382,5654.5236,2867.532428,491.6045207,426.4912497,3704.844583,296.2521808,485.1428554,114.2149109,780.7750941,2007.834068,193.9501689,833.0488644,96.48223044,704.2823511,1026.7801,514.211543,74.7505335
1952,20.2468745,665.148034,305.4807498,192.5863481,3577.116528,381.765765,817.9320817,504.9736596,127.3434619,844.4510875,865.1669388,107.2851542,601.250353,125.5014913,3275.639832,1301.824204,499.875235,578.0456783,669.0036318,1771.249164,757.1329879,257.9990759,2284.099873,799.7594931,1229.108786,323.9154169,142.0350682,964.4422905,103.9419384,328.5265423,169.7494497,1747.672166,161.0155986,61.94484846,5714.327403,2914.619405,502.4598395,432.3126737,3720.919203,295.1071154,496.1897806,116.5273046,796.2458069,2071.523029,199.4235167,848.7782959,97.08919293,711.8495051,1041.988757,511.2141424,76.17332241
